PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x024F | Opcode: 0x124B | SP: 0 | I: 0x05B2
PC: 0x024B | Opcode: 0xF007 | SP: 0 | I: 0x05B2
PC: 0x024D | Opcode: 0x3000 | SP: 0 | I: 0x05B2
PC: 0x0251 | Opcode: 0x2391 | SP: 0 | I: 0x05B2
PC: 0x0391 | Opcode: 0x6A00 | SP: 1 | I: 0x05B2
PC: 0x0393 | Opcode: 0x8DE0 | SP: 1 | I: 0x05B2
PC: 0x0395 | Opcode: 0x6B04 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060C
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060C
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060C
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060C
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060D
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060D
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060D
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060D
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060E
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060E
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060E
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060E
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060F
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060F
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060F
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060F
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x0610
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x0610
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x0610
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x0610
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x0611
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x0611
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x0611
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x0611
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x0612
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x0612
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x0612
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x0612
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BF | Opcode: 0x00EE | SP: 1 | I: 0x05B2
PC: 0x0253 | Opcode: 0x7E01 | SP: 0 | I: 0x05B2
PC: 0x0255 | Opcode: 0x1245 | SP: 0 | I: 0x05B2
PC: 0x0245 | Opcode: 0x2391 | SP: 0 | I: 0x05B2
PC: 0x0391 | Opcode: 0x6A00 | SP: 1 | I: 0x05B2
PC: 0x0393 | Opcode: 0x8DE0 | SP: 1 | I: 0x05B2
PC: 0x0395 | Opcode: 0x6B04 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060D
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060D
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060D
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060D
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060E
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060E
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060E
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060E
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x060F
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x060F
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x060F
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x060F
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x0610
PC: 0x03A1 | Opcode: 0x30FF | SP: 1 | I: 0x0610
PC: 0x03A3 | Opcode: 0x13AF | SP: 1 | I: 0x0610
PC: 0x03AF | Opcode: 0xA50A | SP: 1 | I: 0x0610
PC: 0x03B1 | Opcode: 0xF01E | SP: 1 | I: 0x050A
PC: 0x03B3 | Opcode: 0xDBC6 | SP: 1 | I: 0x05B2
PC: 0x03B5 | Opcode: 0x7B08 | SP: 1 | I: 0x05B2
PC: 0x03B7 | Opcode: 0x7D01 | SP: 1 | I: 0x05B2
PC: 0x03B9 | Opcode: 0x7A01 | SP: 1 | I: 0x05B2
PC: 0x03BB | Opcode: 0x3A07 | SP: 1 | I: 0x05B2
PC: 0x03BD | Opcode: 0x1397 | SP: 1 | I: 0x05B2
PC: 0x0397 | Opcode: 0xE9A1 | SP: 1 | I: 0x05B2
PC: 0x039B | Opcode: 0xA60C | SP: 1 | I: 0x05B2
PC: 0x039D | Opcode: 0xFD1E | SP: 1 | I: 0x060C
PC: 0x039F | Opcode: 0xF065 | SP: 1 | I: 0x0611
